규모,진원깊이,영향도,위도,경도,cluster,c,cluster_4
4.4,219.279,298,36.5658,71.0032,1,blue,1
3.35,18.6,173,18.6025,-65.6698333333333,0,red,0
4.2,10.0,272,26.7486,55.0158,1,blue,1
4.2,200.064,272,-16.7535,-69.4558,1,blue,1
4.1,10.0,263,30.3325,-9.5904,1,blue,1
4.7,10.0,340,12.8897,-44.8966,1,blue,1
4.9,71.23,371,-4.438,-79.9071,1,pink,3
3.17,41.73,155,18.6905,-66.1046666666667,0,red,0
4.5,85.927,312,12.736,93.633,1,blue,1
4.6,83.504,326,44.1923,147.7507,1,blue,1
4.7,36.7,437,59.2779,-150.6426,1,pink,3
4.0,114.228,246,-21.1552,-69.0685,1,blue,1
4.4,10.0,298,1.173,127.9174,1,blue,1
4.6,56.053,326,32.0145,140.9034,1,blue,1
4.7,10.0,340,11.7098,142.7823,1,blue,1
4.4,93.047,298,17.25,146.4004,1,blue,1
3.6,35.0,199,51.3152,-174.232,0,red,0
